N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
194;SHR 17 Semanas Tratados;3;10 ug/kg;7,675,311,429;9,671,563,408;3,636,744,386;0.705995293;14
195;SHR 17 Semanas Tratados;3;10 ug/kg;7,776,783,556;9,685,593,732;3,586,749,478;0.705342639;15
196;SHR 17 Semanas Tratados;3;30 ug/kg;5,350,575,946;130,689,911;3,821,944,773;1,490,380,702;1
197;SHR 17 Semanas Tratados;3;30 ug/kg;568,793;1,540,289,388;4,394,457,755;1,591,002,226;2
198;SHR 17 Semanas Tratados;3;30 ug/kg;5,673,484,737;130,692,239;3,868,531,984;0.966891235;3
199;SHR 17 Semanas Tratados;3;30 ug/kg;6,162,757,576;1,270,326,795;3,715,601,697;0.81141024;4
200;SHR 17 Semanas Tratados;3;30 ug/kg;6,216,949,495;1,203,542,767;3,656,663,316;0.760031053;5
201;SHR 17 Semanas Tratados;3;30 ug/kg;637,193;1,216,681,912;3,595,824,674;0.741994734;6
202;SHR 17 Semanas Tratados;3;30 ug/kg;651,046;1,241,829,421;3,566,648,042;0.7285426;7
203;SHR 17 Semanas Tratados;3;30 ug/kg;670,928;1,168,605,507;3,646,881,462;0.719851886;8
204;SHR 17 Semanas Tratados;3;30 ug/kg;694,934,127;1,177,765,369;3,585,669,582;0.726395735;9
205;SHR 17 Semanas Tratados;3;30 ug/kg;6,973,826,531;115,719,231;3,634,188,251;0.714935242;10
206;SHR 17 Semanas Tratados;3;30 ug/kg;704,838;1,194,098,542;363,915,248;0.711665843;11
207;SHR 17 Semanas Tratados;3;30 ug/kg;711,952;114,615,952;3,622,212,272;0.721008507;12
208;SHR 17 Semanas Tratados;3;30 ug/kg;727,178;1,117,648,637;3,556,500,653;0.71585922;13
209;SHR 17 Semanas Tratados;3;30 ug/kg;7,269,407,692;1,078,936,072;3,649,818,407;0.711564008;14
210;SHR 17 Semanas Tratados;3;30 ug/kg;752,884;1,188,197,708;3,600,191,775;0.715279378;15
211;SHR 17 Semanas Tratados;3;100 ug/kg;4,958,938,372;1,261,363,936;4,348,534,479;3,036,167,782;1
212;SHR 17 Semanas Tratados;3;100 ug/kg;4,493,023,878;1,161,135,413;6,111,522,117;2,848,451,036;2
213;SHR 17 Semanas Tratados;3;100 ug/kg;48,494;1,411,742,873;5,021,550,248;1,756,623,754;3
214;SHR 17 Semanas Tratados;3;100 ug/kg;5,282,194,343;1,328,466,202;4,212,271,671;1,230,288,202;4
215;SHR 17 Semanas Tratados;3;100 ug/kg;566,229;1,224,658,825;3,932,763,708;1,007,675,465;5
216;SHR 17 Semanas Tratados;3;100 ug/kg;5,782,050,707;1,298,940,821;38,277,453;0.881457701;6
217;SHR 17 Semanas Tratados;3;100 ug/kg;574,427;1,309,457,007;3,803,450,653;0.82399572;7
218;SHR 17 Semanas Tratados;3;100 ug/kg;57,806;1,292,674,442;3,688,630,418;0.80255327;8
219;SHR 17 Semanas Tratados;3;100 ug/kg;589,914;128,725,777;369,164,282;0.783128482;9
220;SHR 17 Semanas Tratados;3;100 ug/kg;612,325;1,293,168,182;3,752,770,627;0.764851507;10
221;SHR 17 Semanas Tratados;3;100 ug/kg;62.07;1,240,719,032;3,718,336,684;0.765874336;11
222;SHR 17 Semanas Tratados;3;100 ug/kg;63,351;126,760,068;3,680,774,674;0.765494547;12
223;SHR 17 Semanas Tratados;3;100 ug/kg;6,522,909,091;1,229,957,906;3,732,067,232;0.773486811;13
224;SHR 17 Semanas Tratados;3;100 ug/kg;664,851;1,252,353,014;367,426,906;0.762633608;14
