Time(s), Pressure(mmHg), Action Number
23.06,76.56,0
23.08,84.63,0
23.10,102.31,0
23.12,104.31,0
23.14,94.62,0
23.16,90.94,0
23.18,88.56,0
23.20,87.45,0
23.22,84.75,0
23.24,81.01,0
23.26,77.80,0
23.28,76.43,0
23.30,80.95,0
23.32,105.52,0
23.34,106.13,0
23.36,97.34,0
23.38,90.31,0
23.40,88.86,0
23.42,87.17,0
23.44,83.87,0
23.46,80.02,0
23.48,78.35,0
23.50,75.83,0
23.52,85.43,0
23.54,104.17,0
23.56,105.85,0
23.62,89.24,0
23.64,88.41,0
23.66,85.46,0
23.68,81.55,0
23.70,78.23,0
23.72,76.99,0
23.74,91.33,0
23.76,105.23,0
23.78,101.75,0
23.80,96.48,0
23.82,89.85,0
23.84,88.44,0
23.86,86.91,0
23.88,83.71,0
23.90,80.00,0
23.92,77.12,0
23.94,78.96,0
23.96,87.34,0
23.98,104.39,0
24.00,104.26,0
24.02,94.21,0
24.04,89.69,0
24.06,88.63,0
24.08,86.40,0
24.10,82.68,0
24.12,80.74,0
24.14,77.55,0
24.16,76.65,0
24.18,93.06,0
24.20,107.27,0
24.22,103.01,0
24.24,93.18,0
24.26,90.05,0
24.28,89.60,0
24.30,87.78,0
24.32,84.32,0
24.34,80.47,0
24.36,77.51,0
24.38,79.66,0
24.40,97.80,0
24.42,104.30,0
24.44,103.48,0
24.46,93.64,0
24.48,89.37,0
24.50,88.26,0
24.52,86.15,0
24.54,82.61,0
24.56,79.09,0
24.58,77.67,0
24.60,77.73,0
24.62,94.67,0
24.64,106.50,0
24.66,100.96,0
24.68,91.98,0
24.70,89.47,0
24.72,88.24,0
24.74,87.07,0
24.76,83.50,0
24.78,79.71,0
24.80,76.88,0
24.82,80.69,0
24.84,100.45,0
24.86,107.70,0
24.92,89.96,0
24.94,89.40,0
24.96,87.00,0
24.98,83.19,0
25.00,79.58,0
25.02,77.06,0
25.04,85.09,0
25.06,102.89,0
25.08,106.24,0
25.10,100.48,0
25.12,91.77,0
25.14,89.30,0
25.16,87.93,0
25.18,85.24,0
25.20,81.56,0
25.22,78.31,0
25.24,77.08,0
25.26,82.00,0
25.28,100.90,0
25.30,106.36,0
25.32,97.46,0
25.34,90.79,0
25.36,89.35,0
25.38,87.68,0
25.40,86.22,0
25.42,82.35,0
25.44,78.84,0
25.46,76.62,0
25.48,87.55,0
25.50,105.48,0
25.52,106.17,0
25.54,95.89,0
25.56,92.44,0
25.58,90.26,0
25.60,88.86,0
25.62,85.79,0
25.64,81.83,0
25.66,78.61,0
25.68,77.82,0
25.70,93.22,0
25.72,101.83,0
25.74,105.85,0
25.76,96.61,0
25.78,90.56,0
25.80,89.20,0
25.82,87.25,0
25.84,83.96,0
25.86,80.36,0
25.88,78.83,0
25.90,77.05,0
25.92,89.75,0
25.94,105.54,0
25.96,103.88,0
25.98,94.09,0
26.00,90.23,0
26.02,89.09,0
26.04,88.13,0
26.06,84.98,0
26.08,81.09,0
26.10,77.94,0
26.12,78.47,0
26.14,96.49,0
26.16,108.10,0
26.18,102.31,0
26.20,96.97,0
26.22,91.32,0
26.24,89.97,0
26.26,87.92,0
26.28,84.30,0
26.30,80.51,0
26.32,77.75,0
26.34,82.32,0
26.36,91.77,0
26.38,106.06,0
26.40,103.01,0
26.42,93.51,0
26.44,90.14,0
26.46,88.91,0
26.48,86.23,0
26.50,82.54,0
26.52,80.81,0
26.54,77.95,0
26.56,79.96,0
26.58,98.33,0
26.60,107.08,0
26.62,99.71,0
26.64,91.92,0
26.66,90.61,0
26.68,89.44,0
26.70,87.16,0
26.72,83.53,0
26.74,79.90,0
26.76,77.24,0
26.78,84.93,0
26.80,104.10,0
26.82,108.10,0
26.84,103.06,0
26.86,93.79,0
26.88,90.84,0
26.90,89.39,0
26.92,86.55,0
26.94,82.68,0
26.96,79.28,0
26.98,77.99,0
27.00,81.63,0
27.02,100.23,0
27.04,106.92,0
27.06,98.69,0
27.08,91.64,0
27.10,89.92,0
27.12,88.12,0
27.14,86.60,0
27.16,82.84,0
27.18,79.51,0
27.20,77.35,0
27.22,87.55,0
27.24,104.72,0
27.26,105.22,0
27.28,95.47,0
27.30,92.31,0
27.32,90.26,0
27.34,88.78,0
27.36,85.76,0
27.38,81.93,0
27.40,78.75,0
27.42,78.11,0
27.44,94.75,0
27.46,103.74,0
27.48,107.72,0
27.50,98.17,0
27.52,92.01,0
27.54,90.44,0
27.56,88.33,0
27.58,84.83,0
27.60,81.07,0
27.62,79.47,0
27.64,77.64,0
27.66,90.31,0
27.68,106.07,0
27.70,104.57,0
27.72,94.93,0
27.74,91.02,0
